Order Date,Order #,Order Status,Service Date,Installer Name,Installer Address,Installer City,Vehicle Reg,Vehicle Make,Vehicle Model,Vehicle Year ,SKU,Brand,Name,QTY Ordered,width,height,rim size,year,Subtotal ,Shipping & Handling ,Discount,Tax Amount,Grand Total
2/1/2016 13:01,100000225,complete,4/1/2016,ZDegree,"Hessa - ENOC Petrol Station, Al Khail Rd, 
Next To Al Barsha Police Station & GEMS Soccer Field",Dubai,R19508,bmw,3-series,2012,PIR1200024107,Pirelli,Cinturato P7,4,225,45,18,2020,3588,0,0,0,3588
4/1/2016 16:15,100000230,complete,6/1/2016,TyrePlus,"Al Barsha  Mall, Basement 2 ,23rd St. Al Barsha 2",Dubai,D34841,toyota,fj-cruiser,2009,DUN484,Dunlop,Grandtrek TG28-M2,4,275,70,16,2019,2396,0,0,0,2396
4/1/2016 18:17,100000231,complete,6/1/2016,TyrePlus,"Al Barsha  Mall, Basement 2 ,23rd St. Al Barsha 2",Dubai,67790,mercedes,c-class-amg,2012,DS-265/30-r19-93W,,DEESTONE Vincente R302,2,,,,,998,0,0,0,998
5/1/2016 10:21,100000233,complete,8/1/2016,ZDegree,"Shk Mohd Bin Zd Rd, E 311, -Inside Enoc Fuel Station - 
",Dubai,82794,Honda,MRV,2008,Hankook048,,Dynapro HP RA33,2,,,,,870,0,0,0,870
7/1/2016 17:22,100000235,complete,16-01-16,TyrePlus,"behind Honda Showroom / Oasis Centre , Opposite Al Quoz Graveyard",Dubai,44557k,mercedes,e-class,2012,PIR1200036869,Pirelli,P Zero RO1 MO,2,255,35,18,2020,3752,0,0,0,3752
,,,,,,,,,,,PIR1200007350,Pirelli,P Zero MO,2,235,40,18,2019,,,,,
9/1/2016 10:55,100000236,complete,11/1/2016,ZDegree Mobile - Dubai,Dubai,Dubai,F65817,bmw,5-series,2011,BR245/45R1896W,,Turanza GR90,4,,,,,2596,0,0,0,2695
10/1/2016 11:17,100000238,complete,12/1/2016,ZDegree,"Shk Mohd Bin Zd Rd, E 311, -Inside Enoc Fuel Station - 
",Dubai,76483,land-rover,lr2,2011,MIC056615,,Premier LTX,4,,,,,3356,0,0,0,3356
11/1/2016 13:04,100000239,complete,13-01-16,TyrePlus,"Al Barsha  Mall, Basement 2 ,23rd St. Al Barsha 2",Dubai,F14881,nissan,x-terra,2010,NIT069,,DURA GRAPPLER,4,,,,,2376,0,0,0,2376
11/1/2016 14:46,100000240,complete,13-01-16,ZDegree,"Hessa - ENOC Petrol Station, Al Khail Rd, 
Next To Al Barsha Police Station & GEMS Soccer Field",Dubai,N97872,jaguar,xf,2013,ROA1200033916,Roadstone,NFERA SU1,4,245,40,19,2020,1880,0,0,0,1880
11/1/2016 18:00,100000241,complete,13-01-16,ZDegree Mobile - Dubai,Dubai,Dubai,20105,porsche,cayman,2014,PIR1200034370,Pirelli,P Zero,2,265,35,20,2019,5996,0,0,0,6095
,,,,,,,,,,,PIR1200028855,Pirelli,P Zero N0,2,235,35,20,2018,,,,,
12/1/2016 15:22,100000242,complete,14-01-16,ZDegree Mobile - Dubai,Dubai,Dubai,M42513,porsche,cayenne,2012,PIR1200017683,Pirelli,P Zero N1,4,295,35,21,2018,6280,0,0,0,6379
13-01-16 10:39,100000243,complete,16-01-16,TyrePlus,"inside Enoc petrol station, 
",Dubai,L60490,kia,sportage,2010,DUN60342,Dunlop,SP Sport Maxx,4,245,45,18,2020,1768,0,0,0,1768
14-01-16 17:01,100000244,complete,17-01-16,ZDegree Mobile - Dubai,Dubai,Dubai,E31976,volkswagen,tiguan,2013,DUN40134,,SP Sport Maxx TT,4,,,,,3012,0,0,0,3111
14-01-16 17:41,100000245,complete,17-01-16,ZDegree Mobile - Dubai,Dubai,Dubai,A69047,mitsubishi,pajero,2007,BRI064,,Dueler H/T D684,4,,,,,2836,0,0,0,2935
17-01-16 13:18,100000246,closed,19-01-16,Hankook Masters,"10th St corner Baghdad St, Grand Service Station Building
",Dubai,k25608,audi,Q7,2013,DUN0001,,SP Sport Maxx 050,4,,,,,4796,0,0,0,4796
17-01-16 15:24,100000247,complete,19-01-16,ZDegree,"Hessa - ENOC Petrol Station, Al Khail Rd, 
Next To Al Barsha Police Station & GEMS Soccer Field",Dubai,I26632,bmw,z4-roadster,2007,BR225/40R1892Y,Bridgestone,Potenza RE050A XL,2,225,40,18,2016,4230,0,0,0,4230
,,,,,,,,,,,BR255/35R1890W,,Potenza RE050A,2,,,,,,,,,
17-01-16 18:12,100000248,complete,19-01-16,Hankook Masters,"10th St corner Baghdad St, Grand Service Station Building
",Dubai,k25608,audi,q7,2013,PIR1200017683,Pirelli,P Zero N1,4,295,35,21,2018,5156,0,0,0,5156
18-01-16 10:08,100000249,closed,20-01-16,TyrePlus,"behind Honda Showroom / Oasis Centre , Opposite Al Quoz Graveyard",Dubai,O32259,mercedes,a-class-amg,2014,DUN40238,,SP Sport Maxx TT,3,,,,,1890,0,0,0,1890
18-01-16 12:49,100000250,complete,20-01-16,TyrePlus,"behind Honda Showroom / Oasis Centre , Opposite Al Quoz Graveyard",Dubai,O32259,mercedes,a-class,2014,PIR1200007350,Pirelli,P Zero MO,3,235,40,18,2019,2688,0,0,0,2688
20-01-16 16:11,100000251,complete,22-01-16,TyrePlus,"Al Barsha  Mall, Basement 2 ,23rd St. Al Barsha 2",Dubai,K54926,mitsubishi,pajero,2008,ZEE1200032198,Zeetex,HT1000,4,265,70,16,2020,1700,0,0,0,1700
26-01-16 0:21,100000254,complete,27-01-16,TyrePlus,"Al Barsha  Mall, Basement 2 ,23rd St. Al Barsha 2",Dubai,N22005,maserati,grancabriosportmc,2014,PIR1200017582,Pirelli,P Zero,2,245,35,20,2020,6900,0,0,0,6900
,,,,,,,,,,,PIR1200007772,Pirelli,P Zero,2,285,35,20,2018,,,,,
26-01-16 18:25,100000257,closed,27-01-16,TyrePlus,"Behind Suzuki Showroom, Opp Nissan Service Center",Dubai,D 32175,peugeot,206,2003,NIT185/65R15-88V-NT860,,NT860,4,,,,,860,0,0,0,860
27-01-16 17:45,100000258,complete,28-01-16,TyrePlus,"Next to RTA Building, Marrakesh st,",Dubai,20237,audi,a6,2014,CONC03526640000,,ContiSportContact 2 M,4,,,,,3996,0,0,0,3996
28-01-16 1:44,100000259,complete,28-01-16,TyrePlus,"Inside Grand Service Station, Tripoli Street",Dubai,2603,Cadillac ,ATS,2013,BR255/35R1890W-050A-RFT,,Potenza RE050A,2,,,,,1776,0,0,0,1875
30-01-16 17:04,100000260,complete,31-01-16,ZDegree Mobile - Dubai,Dubai,Dubai,K2603,Cadillac ,Ats,2103,BR225/40R1888W-050A-RFT,,Potenza RE050A,2,,,,,1836,0,0,0,1836
30-01-16 20:46,100000261,complete,31-01-16,ZDegree,"Hessa - ENOC Petrol Station, Al Khail Rd, 
Next To Al Barsha Police Station & GEMS Soccer Field",Dubai,176818,ford,mustang,2014,DUN60302,Dunlop,SP SPORT 270,4,225,60,17,2019,2192,0,0,0,2192
1/2/2016 13:12,100000263,complete,2/2/2016,SuperCarz,"M-17, Mussafah Industrial Area ",Abu Dhabi,71192,mercedes,c-class,2015,CON03563050000,Continental,ContiSportContact 5 SSR MO Extended,2,225,45,18,2019,2398,0,0,0,2398
